categoria,nombre,precio,precio_transferencia,descripcion,variantes,url
"" ,"","Precio sin impuestos
                            : $0,00","$10.100,00 Precio sin impuestos $8.347,11 $9.595,00 con Transferencia o depósito bancario 💰","¡¡¡NUEVA PRESENTACION 3KG!!! Jaspe Adultos es un alimento equilibrado para perros en etapa adulta. Brinda los nutrientes necesarios para mantener su vitalidad y salud intestinal, con ingredientes sele","","https://lamascoteranoa.com.ar/productos/jaspe-adulto-rm-g-x-3-kg-qmuky/"
"" ,"ACA NO AEROSOL X 419 ML.","Precio sin impuestos
                            : $0,00","$17.300,00 Precio sin impuestos $14.297,52 $16.435,00 con Transferencia o depósito bancario 💰","Acá No® Interiores Auxiliar educativo para interiores en aerosol. Acá No® Interiores ahuyenta perros y gatos de muebles, tapizados, alfombras, autos, etc. Una aplicación de Acá No® Interiores actúa du","","https://lamascoteranoa.com.ar/productos/aca-no-aerosol-x-419-ml1/"
"" ,"ACÁ NO Liquido x 1 Lts","Precio sin impuestos
                            : $0,00","$22.700,00 Precio sin impuestos $18.760,33 $21.565,00 con Transferencia o depósito bancario 💰","Modificador de la conducta de perros y gatos. Líquido diluible para proteger grandes superficies. ACÁ NO® Líquido ayuda a repeler a perros y gatos de lugares amplios que se desean proteger como patios","","https://lamascoteranoa.com.ar/productos/aca-no-liquido-x-1-lts/"
"" ,"ACÁ NO Liquido x 450 ml","Precio sin impuestos
                            : $0,00","$14.900,00 Precio sin impuestos $12.314,05 $14.155,00 con Transferencia o depósito bancario 💰","Modificador de la conducta de perros y gatos. Líquido diluible para proteger grandes superficies. ACÁ NO ® Líquido ayuda a repeler a perros y gatos de lugares amplios que se desean proteger como patio","","https://lamascoteranoa.com.ar/productos/aca-no-liquido-x-450-ml/"
"" ,"AGILITY AD SALMON X 10 KGS","Precio sin impuestos
                            : $0,00","$68.800,00 Precio sin impuestos $56.859,50 $65.360,00 con Transferencia o depósito bancario 💰","El bienestar interno de los gatos se manifiesta en su vigor exterior. Agility+ es la nutrición de avanzada que supera los requerimientos nutricionales del gato adulto. Combina la excelencia de la prot","","https://lamascoteranoa.com.ar/productos/agility-ad-salmon-x-10-kgs/"
"" ,"AGILITY ADULTO PLUS CORDERO X 1,5 KGS","Precio sin impuestos
                            : $0,00","$10.800,00 Precio sin impuestos $8.925,62 $10.260,00 con Transferencia o depósito bancario 💰","AGILITY+ DOG ADULT CORDERO es nutrición de avanzada. Combina la excelencia de la proteína del cordero, con nutrientes específicamente integrados para potenciar su salud, con un plus bifuncional: contr","","https://lamascoteranoa.com.ar/productos/agility-adulto-plus-cordero-x-15-kgs/"
"" ,"AGILITY ADULTO PLUS CORDERO X 15 KGS","Precio sin impuestos
                            : $0,00","$75.800,00 Precio sin impuestos $62.644,63 $72.010,00 con Transferencia o depósito bancario 💰","AGILITY+ DOG ADULT CORDERO es nutrición de avanzada. Combina la excelencia de la proteína del cordero, con nutrientes específicamente integrados para potenciar su salud, con un plus bifuncional: contr","","https://lamascoteranoa.com.ar/productos/agility-adulto-plus-cordero-x-15-kgs1/"
"" ,"AGILITY ADULTOS TALLA PEQUEÑA X 1.5KG.","Precio sin impuestos
                            : $0,00","$9.400,00 Precio sin impuestos $7.768,60 $8.930,00 con Transferencia o depósito bancario 💰","Los perros adultos de estructura pequeña necesitan una alimentación con un alto aporte de proteínas y grasas para mantener una salud integral óptima. Agility Adultos Razas Pequeñas es una fórmula espe","","https://lamascoteranoa.com.ar/productos/agility-adultos-talla-pequena-x-1-5kg/"
"" ,"AGILITY ADULTOS TALLA PEQUEÑA X 3 KG.","Precio sin impuestos
                            : $0,00","$46.600,00 Precio sin impuestos $38.512,40 $44.270,00 con Transferencia o depósito bancario 💰","Agility Adultos Razas Pequeñas es una fórmula especialmente ideada para promover óptimos niveles de energía y vitalidad, basada en su tecnología Healthy Complex: una combinación de nutrientes minucios","","https://lamascoteranoa.com.ar/productos/agility-adultos-talla-pequena-x-3-kg/"
"" ,"AGILITY CATS CONTROL DE PESO X 1,5 KG.","Precio sin impuestos
                            : $0,00","$15.600,00 Precio sin impuestos $12.892,56 $14.820,00 con Transferencia o depósito bancario 💰","Alimento balanceado completo, cocido por extrusión, resultado de una mezcla equilibrada de macronutrientes, micronutrientes y aditivos de altísima calidad que cubren los requerimientos alimenticios de","","https://lamascoteranoa.com.ar/productos/agility-cats-control-de-peso-x-15-kg/"
"" ,"AGILITY DOG CACHORRO X 340 GR. EO","Precio sin impuestos
                            : $0,00","$4.700,00 Precio sin impuestos $3.884,30 $4.465,00 con Transferencia o depósito bancario 💰","Alimento balanceado completo húmedo, cocido al vapor, resultado de una mezcla equilibrada de macronutrientes, micronutrientes y aditivos de la más alta calidad que cubren los requerimientos alimentici","","https://lamascoteranoa.com.ar/productos/agility-dog-cachorro-x-340-gr-eo/"
"" ,"AGILITY DOG CERDO X 340 GR. EO","Precio sin impuestos
                            : $0,00","$4.500,00 Precio sin impuestos $3.719,01 $4.275,00 con Transferencia o depósito bancario 💰","Alimento balanceado completo húmedo, cocido al vapor, resultado de una mezcla equilibrada de macronutrientes, micronutrientes y aditivos de la más alta calidad que cubren los requerimientos alimentici","","https://lamascoteranoa.com.ar/productos/agility-dog-cerdo-x-340-gr-eo/"
"" ,"AGILITY GATOS STRONG HEART SALMON X 340 GR","Precio sin impuestos
                            : $0,00","$5.200,00 Precio sin impuestos $4.297,52 $4.940,00 con Transferencia o depósito bancario 💰","El bienestar interno de los gatos se manifiesta en su vigor exterior. Agility+ es la nutrición de avanzada que supera los requerimientos nutricionales del gato adulto. Combina la excelencia de la prot","","https://lamascoteranoa.com.ar/productos/agility-strong-heart-salmon-x-340-gr/"
"" ,"ALICATE CON LIMA P+","Precio sin impuestos
                            : $0,00","$8.200,00 Precio sin impuestos $6.776,86 $7.790,00 con Transferencia o depósito bancario 💰","Mantené las uñas de tu mascota prolijas y saludables con este alicate para corte de uñas , diseñado para un uso cómodo y seguro en perros y gatos. Su hoja de acero inoxidable permite un corte limpio y","","https://lamascoteranoa.com.ar/productos/alicate-con-lima-p-4dod3/"
"" ,"ARNES CON MANIJA PERRO P+","Precio sin impuestos
                            : $0,00","$16.900,00 Precio sin impuestos $13.966,94 $16.055,00 con Transferencia o depósito bancario 💰","Comodidad, control y estilo en un solo accesorio. Este arnés con manija superior integrada te permite sujetar fácilmente a tu perro cuando necesitás un mayor control, ya sea para cruzar calles, subir ","","https://lamascoteranoa.com.ar/productos/arnes-con-manija-perro-p/"
"" ,"ARNES PERRO CON CORREA P+","Precio sin impuestos
                            : $0,00","$12.200,00 Precio sin impuestos $10.082,64 $11.590,00 con Transferencia o depósito bancario 💰","Ofrecéle a tu perro mayor confort y seguridad en cada paseo con este arnés tipo chaleco . Confeccionado en material respirable y acolchado , distribuye la presión de forma uniforme, evitando tirones e","","https://lamascoteranoa.com.ar/productos/arnes-perro-con-correa-p-6rl8w/"
"" ,"ARO SUPREME ANTIESTRES","Precio sin impuestos
                            : $0,00","$110.400,00 Precio sin impuestos $91.239,67 $104.880,00 con Transferencia o depósito bancario 💰","Tamaños disponibles: CHICO: 42 CM MEDIANO: 52 CM GRANDE: 62 CM","","https://lamascoteranoa.com.ar/productos/aro-supreme-antiestres/"
"" ,"ASADITOS CACHORRO X 40 GR","Precio sin impuestos
                            : $0,00","$2.100,00 Precio sin impuestos $1.735,54 $1.995,00 con Transferencia o depósito bancario 💰","Golosina snack Asaditos lomitos de carne con leche para perros cachorros . Cada paquete contiene 6 unidades. 28% de proteína. Elaborado con cortes de carne fresca y una selección de ingredientes de al","","https://lamascoteranoa.com.ar/productos/asaditos-cachorro-x-40-gr/"
"" ,"ASADITOS GATO X 40 GR","Precio sin impuestos
                            : $0,00","$1.900,00 Precio sin impuestos $1.570,25 $1.805,00 con Transferencia o depósito bancario 💰","PROMOCIONES NO ACUMULABLES CON OTROS DESCUENTOS Asaditos Snack Premium para gatos 40g Nuestros lomitos de carne y pescado son únicos, porque están hechos con carne fresca, sin conservantes ni colorant","","https://lamascoteranoa.com.ar/productos/asaditos-gato-x-40-gr/"
"" ,"Absorsol Perfumadas x 2 kg. Piedras Sanitarias","Precio sin impuestos
                            : $0,00","$4.300,00 Precio sin impuestos $3.553,72 $4.085,00 con Transferencia o depósito bancario 💰","Las piedras sanitarias Alta Gama Perfumadas para gatos brindan máximo rendimiento. Son ecológicas y reciclables, quitan los olores de los excrementos, absorben la cantidad de líquido equivalente a su ","","https://lamascoteranoa.com.ar/productos/alta-gama-x-2-kg-piedras-sanitarias/"
